PES SUMMARY — LiH / STO-3G
================================================================================

  R(Å)           E_HF         E_CCSD          E_FCI        E_PUCCD   err(mHa)        E_SUCCD   err(mHa) 
--------------------------------------------------------------------------------
 1.200    -7.83561583    -7.85242437    -7.85243085    -7.84934937     +3.075            N/A        N/A 
 1.300    -7.85195386    -7.86913263    -7.86913998    -7.86587714     +3.255    -7.86753549     +1.597 
 1.400    -7.86053866    -7.87844534    -7.87845365    -7.87492342     +3.522    -7.87672357     +1.722 
 1.500    -7.86335762    -7.88235291    -7.88236229    -7.87846738     +3.886    -7.88046059     +1.892 
 1.596    -7.86199269    -7.88237649    -7.88238699    -7.87803518     +4.341    -7.88027135     +2.105 
 1.650    -7.85985170    -7.88116708    -7.88117829    -7.87651627     +4.651    -7.87891841     +2.249 
 1.700    -7.85714496    -7.87942160    -7.87943352    -7.87444564     +4.976    -7.87702311     +2.398 
 1.750    -7.85383960    -7.87717433    -7.87718700    -7.87183235     +5.342    -7.87460848     +2.566 
 1.800    -7.85001870    -7.87451051    -7.87452402    -7.86875760     +5.753    -7.87175848     +2.752 
 1.900    -7.84111204    -7.86822534    -7.86824079    -7.86149746     +6.728    -7.86503924     +3.186 
 2.000    -7.83090558    -7.86106994    -7.86108777    -7.85312808     +7.942    -7.85735955     +3.710 
 2.100    -7.81977026    -7.85344214    -7.85346291    -7.84399927     +9.443    -7.84911058     +4.332 
 2.200    -7.80799437    -7.84565925    -7.84568362    -7.83437354    +11.286    -7.84061028     +5.049 
 2.300    -7.79580448    -7.83797621    -7.83800500    -7.82444581    +13.530    -7.83212859     +5.848 
 2.400    -7.78338163    -7.83059751    -7.83063162    -7.81435863    +16.239    -7.82390960     +6.688 
 2.500    -7.77087367    -7.82368346    -7.82372388    -7.80421431    +19.469    -7.81618926     +7.494 
 2.600    -7.75840440    -7.81735227    -7.81739993    -7.79408519    +23.267    -7.80920027     +8.152 
 2.800    -7.73399134    -7.80669923    -7.80676340    -7.77407415    +32.625    -7.79815973     +8.539 
 3.000    -7.71082990    -7.79876196    -7.79884316    -7.75476075    +44.001    -7.79124766     +7.514 
